"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"DummyJson API","User Me Endpoint","Get user info without Accept-Encoding header","0","0","1","0","0"
"","","","0","0","11","0","0"
"DummyJson API","Authentication","Login Success - Base URL from Config","0","0","1","0","0"
"DummyJson API","Search","Search Users by Query","0","0","1","0","0"
"DummyJson API","Authentication","Login Fail - Invalid Username Type","0","0","1","0","0"
"DummyJson API","User Me Endpoint","Get user info with invalid token","0","0","1","0","0"
"DummyJson API","User Me Endpoint","Get user info with expired token","0","0","1","0","0"
"DummyJson API","Authentication","Login Fail - Missing Username","0","0","1","0","0"
"DummyJson API","Authentication","Login Fail - Missing Password","0","0","1","0","0"
"DummyJson API","Authentication","Login Fail - Empty Body","0","0","1","0","0"
"DummyJson API","Authentication","Login Success with valid credentials","0","0","1","0","0"
"DummyJson API","User Me Endpoint","User info remains consistent across multiple calls","0","0","1","0","0"
"DummyJson API","User Me Endpoint","Get user info with valid token","0","0","1","0","0"
